dt;x;y;s;d;d_dot;yaw;d_yaw;v_ms;ref_v_;a;jerk;FSM;mode;
0.17;925.96;1129.04;141.31;5.94;-0.16;0.04;0.00;5.35;5.46;0.64;0.10;KeepLane;1
0.21;927.16;1129.09;142.51;5.90;-0.20;0.06;0.02;6.56;5.57;5.84;1.54;KeepLane;1
0.17;928.16;1129.14;143.52;5.85;-0.28;0.06;0.00;5.57;5.68;-5.66;0.44;KeepLane;1
0.21;929.41;1129.22;144.76;5.79;-0.29;0.06;0.00;5.68;5.79;0.53;0.64;KeepLane;1
0.17;930.33;1129.27;145.69;5.74;-0.29;0.06;-0.00;5.79;5.90;0.64;0.64;KeepLane;1
0.09;930.92;1129.31;146.28;5.71;-0.33;0.06;-0.00;5.89;6.01;1.09;0.19;KeepLane;1
0.13;931.76;1129.36;147.12;5.67;-0.32;0.05;-0.00;6.67;6.12;5.78;1.20;KeepLane;1
0.22;932.98;1129.43;148.34;5.61;-0.27;0.06;0.00;6.12;6.23;-2.58;1.04;KeepLane;1
0.09;933.60;1129.46;148.96;5.58;-0.32;0.06;-0.00;6.23;6.34;1.19;0.59;KeepLane;1
0.12;934.49;1129.51;149.85;5.54;-0.34;0.05;-0.00;6.99;6.45;6.18;1.37;KeepLane;1
0.20;935.65;1129.58;150.45;5.52;-0.08;0.06;0.01;6.45;6.56;-2.68;1.03;KeepLane;1
0.20;936.96;1129.65;151.76;5.59;0.32;0.06;0.00;6.56;6.67;0.55;0.51;KeepLane;1
0.21;938.42;1129.75;153.23;5.65;0.33;0.06;0.00;6.66;6.78;0.51;1.12;KeepLane;1
0.11;939.23;1129.80;154.04;5.69;0.33;0.07;0.00;6.77;6.89;1.02;1.17;KeepLane;1
0.09;939.78;1129.84;154.59;5.71;0.25;0.07;-0.00;6.88;7.00;1.22;1.23;KeepLane;1
0.09;940.48;1129.88;155.29;5.74;0.32;0.07;0.00;6.99;7.11;1.13;1.23;KeepLane;1
0.11;941.33;1129.94;156.14;5.78;0.30;0.07;0.00;7.65;7.22;5.93;1.25;KeepLane;1
0.14;942.33;1130.01;157.15;5.81;0.26;0.07;0.00;7.21;7.33;-3.10;1.20;KeepLane;1
0.19;943.65;1130.11;158.47;5.86;0.23;0.08;0.00;7.32;7.44;0.58;1.13;KeepLane;1
0.11;944.54;1130.18;159.36;5.89;0.26;0.08;0.00;7.43;7.55;0.99;0.62;KeepLane;1
0.18;945.89;1130.29;160.71;5.93;0.22;0.08;0.00;7.54;7.66;0.60;0.94;KeepLane;1
0.19;947.42;1130.41;162.24;5.97;0.21;0.09;0.01;7.65;7.77;0.60;0.95;KeepLane;1
0.19;948.81;1130.53;163.64;6.00;0.16;0.09;0.01;7.76;7.88;0.55;0.95;KeepLane;1
0.17;950.22;1130.66;165.06;6.02;0.15;0.09;0.00;7.87;7.99;0.68;0.92;KeepLane;1
0.07;950.85;1130.72;165.69;6.03;0.16;0.09;0.00;8.30;8.10;6.36;1.43;KeepLane;1
0.11;951.66;1130.80;166.50;6.05;0.11;0.10;0.00;8.09;8.21;-1.95;1.12;KeepLane;1
0.18;953.13;1130.94;167.98;6.06;0.09;0.10;0.00;8.20;8.32;0.58;0.59;KeepLane;1
0.13;954.28;1131.06;169.14;6.07;0.08;0.10;0.00;8.95;8.43;5.60;1.46;KeepLane;1
0.11;955.12;1131.14;169.98;6.08;0.07;0.10;0.00;8.41;8.54;-5.05;0.90;KeepLane;1
0.12;956.14;1131.25;171.00;6.09;0.04;0.11;0.00;9.07;8.65;5.52;1.35;KeepLane;1
0.19;957.85;1131.44;172.73;6.09;0.00;0.12;0.01;9.62;8.76;2.87;1.58;KeepLane;1
0.10;958.72;1131.54;173.60;6.08;-0.09;0.12;0.00;8.75;8.87;-8.44;0.67;KeepLane;1
0.17;960.12;1131.71;175.02;6.06;-0.11;0.12;0.00;8.85;8.98;0.60;0.68;KeepLane;1
0.11;961.19;1131.85;176.09;6.04;-0.17;0.13;0.00;8.96;9.09;0.95;0.70;KeepLane;1
0.16;962.81;1132.06;177.73;6.01;-0.20;0.13;0.00;9.06;9.20;0.65;0.13;KeepLane;1
0.16;964.26;1132.25;179.19;5.97;-0.22;0.14;0.01;9.92;9.31;5.25;0.85;KeepLane;1
0.14;965.55;1132.43;180.49;5.93;-0.29;0.14;0.01;9.27;9.42;-4.61;0.33;KeepLane;1
0.12;966.66;1132.60;180.92;6.00;0.55;0.15;0.00;9.38;9.53;0.93;-0.13;KeepLane;1
0.09;967.42;1132.71;181.68;6.05;0.67;0.15;0.00;9.49;9.64;1.28;0.50;KeepLane;1
0.18;969.12;1132.98;183.41;6.18;0.68;0.16;0.01;9.60;9.75;0.61;0.01;KeepLane;1
0.18;970.85;1133.27;185.15;6.28;0.59;0.17;0.01;9.72;9.86;0.66;-0.21;KeepLane;1
0.19;972.59;1133.57;186.92;6.38;0.49;0.18;0.01;9.82;9.97;0.53;0.68;KeepLane;1
0.16;974.35;1133.90;188.70;6.45;0.47;0.19;0.01;9.93;10.08;0.70;0.69;KeepLane;1
0.13;975.53;1134.13;189.91;6.49;0.32;0.20;0.01;10.04;10.19;0.83;0.68;KeepLane;1
0.09;976.53;1134.33;190.92;6.52;0.30;0.20;0.01;10.15;10.30;1.32;0.75;KeepLane;1
0.11;977.52;1134.54;191.94;6.54;0.19;0.21;0.01;10.15;10.41;-0.02;0.22;KeepLane;1
0.18;979.34;1134.94;193.80;6.55;0.08;0.22;0.01;10.38;10.52;1.27;0.81;KeepLane;1
0.18;981.18;1135.37;195.69;6.54;-0.06;0.24;0.01;10.48;10.63;0.58;0.78;KeepLane;1
0.09;982.21;1135.62;196.75;6.53;-0.18;0.25;0.01;10.60;10.74;1.25;0.77;KeepLane;1
0.10;983.25;1135.89;197.82;6.50;-0.26;0.26;0.01;11.17;10.85;5.54;1.27;KeepLane;1
0.21;985.34;1136.46;199.98;6.41;-0.41;0.27;0.01;10.83;10.96;-1.58;1.04;KeepLane;1
0.09;986.39;1136.76;201.08;6.36;-0.64;0.28;0.01;10.93;11.07;1.24;1.11;KeepLane;1
0.11;987.66;1137.13;202.40;6.28;-0.69;0.29;0.01;11.61;11.18;6.06;1.65;KeepLane;1
0.13;988.94;1137.52;203.74;6.19;-0.70;0.30;0.01;11.16;11.29;-3.42;1.22;KeepLane;1
0.08;990.02;1137.85;204.86;6.10;-1.05;0.31;0.01;11.71;11.40;6.70;1.76;KeepLane;1
0.09;990.89;1138.13;205.77;6.02;-0.89;0.32;0.01;11.73;11.51;0.19;1.78;KeepLane;1
0.20;993.07;1138.87;208.06;5.80;-1.12;0.36;0.04;12.55;11.62;4.04;2.06;KeepLane;1
0.16;994.81;1139.52;209.90;5.55;-1.56;0.36;0.00;11.62;11.73;-5.84;1.42;KeepLane;1
0.19;996.78;1140.27;211.99;5.26;-1.53;0.36;0.00;11.73;11.84;0.58;1.35;KeepLane;1
0.19;998.77;1141.02;213.22;5.32;0.29;0.37;0.00;11.84;11.95;0.58;0.86;KeepLane;1
0.21;1001.45;1142.05;216.08;5.40;0.41;0.37;0.00;11.95;12.06;0.53;1.07;KeepLane;1
0.20;1003.47;1142.84;218.25;5.46;0.30;0.37;0.00;12.06;12.17;0.55;1.00;KeepLane;1
0.21;1005.97;1143.80;220.93;5.54;0.35;0.37;0.00;12.17;12.28;0.53;0.44;KeepLane;1
0.15;1007.80;1144.52;222.89;5.59;0.34;0.37;0.00;13.07;12.39;5.96;1.38;KeepLane;1
0.20;1010.11;1145.42;225.37;5.65;0.30;0.37;0.00;12.39;12.50;-3.34;0.38;KeepLane;1
0.20;1012.43;1146.33;227.87;5.71;0.29;0.38;0.00;12.51;12.61;0.56;0.42;KeepLane;1
0.17;1014.31;1147.07;229.89;5.75;0.27;0.38;0.00;12.57;12.72;0.40;0.05;KeepLane;1
0.07;1015.50;1147.54;231.16;5.78;0.37;0.38;0.00;13.13;12.83;7.42;1.38;KeepLane;1
0.13;1016.93;1148.10;232.70;5.81;0.26;0.38;0.00;13.35;12.94;1.75;1.49;KeepLane;1
0.18;1019.09;1148.96;235.02;5.86;0.27;0.38;-0.00;12.95;13.05;-2.17;1.22;KeepLane;1
0.19;1021.52;1149.92;237.63;5.92;0.31;0.37;-0.00;14.06;13.16;5.92;1.76;KeepLane;1
0.10;1022.75;1150.39;238.95;5.95;0.31;0.37;0.00;13.16;13.27;-8.72;0.83;KeepLane;1
0.10;1023.98;1150.88;240.28;5.99;0.33;0.37;-0.00;13.27;13.38;1.10;0.89;KeepLane;1
0.25;1026.97;1152.05;243.49;6.06;0.31;0.37;0.00;13.38;13.49;0.44;0.34;KeepLane;1
0.08;1028.23;1152.54;244.89;6.09;0.27;0.38;0.00;13.94;13.60;6.80;1.35;KeepLane;1
0.11;1029.75;1153.14;246.53;6.10;0.16;0.38;0.01;14.19;13.71;2.21;1.52;KeepLane;1
0.19;1032.04;1154.06;248.99;6.12;0.07;0.38;0.00;13.73;13.82;-2.45;1.23;KeepLane;1
0.16;1034.09;1154.89;251.21;6.13;0.05;0.39;0.00;13.82;13.93;0.52;0.54;KeepLane;1
0.08;1035.12;1155.31;252.32;6.13;0.00;0.39;0.00;14.28;14.04;5.97;0.96;KeepLane;1
0.11;1036.68;1155.95;254.01;6.12;-0.05;0.40;0.01;14.63;14.15;3.24;1.50;KeepLane;1
0.18;1038.76;1156.83;256.27;6.09;-0.14;0.40;0.00;14.16;14.26;-2.56;0.65;KeepLane;1
0.18;1041.39;1157.95;259.12;6.06;-0.21;0.40;0.00;14.28;14.37;0.63;1.59;KeepLane;1
0.15;1043.24;1158.74;261.13;6.02;-0.23;0.41;0.00;15.03;14.48;5.13;1.99;KeepLane;1
0.18;1045.63;1159.77;263.74;5.97;-0.30;0.41;0.00;14.49;14.59;-3.01;1.65;KeepLane;1
